Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme,Komuna
PARTIA DEMOKRATIKE E KOSOVËS,128,6.38,Junik
PARTIA E ASHKALINJËVE PËR INTEGRIM,0,0.0,Junik
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Junik
PARTIJA KOSOVSKIH SRBA,0,0.0,Junik
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1,0.05,Junik
POKRET ZA GORA,0,0.0,Junik
NOVA DEMOKRATSKA STRANKA,1,0.05,Junik
AAK-PSD KOALICIONI 100% KOSOVË,1009,50.32,Junik
SLOBODA,1,0.05,Junik
SAMOSTALNA LIBERALNA STRANKA,0,0.0,Junik
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,48,2.39,Junik
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Junik
KOALICIJA VAKAT,3,0.15,Junik
FJALA,0,0.0,Junik
LËVIZJA VETËVENDOSJE!,171,8.53,Junik
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,Junik
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Junik
PARTIA EUROATLANTIKE E KOSOVËS,2,0.1,Junik
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Junik
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Junik
ESMIR KASI,0,0.0,Junik
GRAÐANSKA İNİCİJATİVA GORE,1,0.05,Junik
LIDHJA DEMOKRATIKE E KOSOVËS,632,31.52,Junik
SRPSKA LISTA,1,0.05,Junik
PARTIA LIBERALE EGJIPTIANE,23,0.15,Kamenicë
PARTIA DEMOKRATIKE E KOSOVËS,2213,14.52,Kamenicë
PARTIA E ASHKALINJËVE PËR INTEGRIM,9,0.06,Kamenicë
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Kamenicë
PARTIJA KOSOVSKIH SRBA,5,0.03,Kamenicë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,8,0.05,Kamenicë
POKRET ZA GORA,2,0.01,Kamenicë
NOVA DEMOKRATSKA STRANKA,0,0.0,Kamenicë
AAK-PSD KOALICIONI 100% KOSOVË,2312,15.17,Kamenicë
SLOBODA,12,0.08,Kamenicë
SAMOSTALNA LIBERALNA STRANKA,18,0.12,Kamenicë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1267,8.31,Kamenicë
JEDINSTVENA GORANSKA PARTIJA,4,0.03,Kamenicë
KOALICIJA VAKAT,9,0.06,Kamenicë
FJALA,28,0.18,Kamenicë
LËVIZJA VETËVENDOSJE!,4692,30.78,Kamenicë
KOSOVA DEMOKRATIK TÜRK PARTISI,14,0.09,Kamenicë
PARTIA ROME E BASHKUAR E KOSOVËS,24,0.16,Kamenicë
PARTIA EUROATLANTIKE E KOSOVËS,9,0.06,Kamenicë
KOSOVAKI NEVI ROMANI PARTIA,3,0.02,Kamenicë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,0.01,Kamenicë
ESMIR KASI,2,0.01,Kamenicë
GRAÐANSKA İNİCİJATİVA GORE,11,0.07,Kamenicë
LIDHJA DEMOKRATIKE E KOSOVËS,3221,21.13,Kamenicë
SRPSKA LISTA,1355,8.89,Kamenicë
PARTIA LIBERALE EGJIPTIANE,57,0.39,Kaçanik
PARTIA DEMOKRATIKE E KOSOVËS,4725,32.3,Kaçanik
PARTIA E ASHKALINJËVE PËR INTEGRIM,211,1.44,Kaçanik
STRANKA DEMOKRATSKE AKCIJE,4,0.03,Kaçanik
PARTIJA KOSOVSKIH SRBA,2,0.01,Kaçanik
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,5,0.03,Kaçanik
